,lat,lon,fire_x,fire_y,I4,I5,D/N
290,51.221596,-114.48795,919,3938,294.08182,284.81573,False
291,47.973717,-102.40391,924,5986,291.50992,284.66537,False
292,47.973717,-102.40391,924,5986,291.50992,284.66537,False
293,48.086746,-102.906105,944,5913,300.72046,287.9025,False
294,48.086746,-102.906105,944,5913,300.72046,287.9025,False
295,48.086746,-102.906105,944,5913,300.72046,287.9025,False
296,48.086746,-102.906105,944,5913,300.72046,287.9025,False
297,48.086746,-102.906105,944,5913,300.72046,287.9025,False
298,48.084694,-102.89993,944,5914,297.02643,287.73517,False
299,48.084694,-102.89993,944,5914,297.02643,287.73517,False
300,48.084694,-102.89993,944,5914,297.02643,287.73517,False
301,48.084694,-102.89993,944,5914,297.02643,287.73517,False
302,48.084694,-102.89993,944,5914,297.02643,287.73517,False
303,48.16441,-103.248146,951,5860,294.22412,285.95325,False
304,48.16441,-103.248146,951,5860,294.22412,285.95325,False
305,48.16441,-103.248146,951,5860,294.22412,285.95325,False
306,48.16441,-103.248146,951,5860,294.22412,285.95325,False
307,48.16441,-103.248146,951,5860,294.22412,285.95325,False
308,47.870495,-102.449776,956,5991,298.89554,287.48807,False
309,47.870495,-102.449776,956,5991,298.89554,287.48807,False
310,47.870495,-102.449776,956,5991,298.89554,287.48807,False
311,47.870495,-102.449776,956,5991,298.89554,287.48807,False
312,47.870495,-102.449776,956,5991,298.89554,287.48807,False
313,47.874565,-102.4386,964,5993,296.8955,287.8867,False
314,47.874565,-102.4386,964,5993,296.8955,287.8867,False
315,47.874565,-102.4386,964,5993,296.8955,287.8867,False
316,47.874565,-102.4386,964,5993,296.8955,287.8867,False
317,47.874565,-102.4386,964,5993,296.8955,287.8867,False
318,47.872524,-102.448296,965,5992,298.2577,287.6688,False
319,47.872524,-102.448296,965,5992,298.2577,287.6688,False
320,47.872524,-102.448296,965,5992,298.2577,287.6688,False
321,47.872524,-102.448296,965,5992,298.2577,287.6688,False
322,47.872524,-102.448296,965,5992,298.2577,287.6688,False
323,47.868343,-102.45144,966,5992,296.90198,286.84796,False
324,47.868343,-102.45144,966,5992,296.90198,286.84796,False
325,47.868343,-102.45144,966,5992,296.90198,286.84796,False
326,47.868343,-102.45144,966,5992,296.90198,286.84796,False
327,47.868343,-102.45144,966,5992,296.90198,286.84796,False
328,47.83478,-102.678185,987,5967,299.59842,286.43277,False
329,47.83478,-102.678185,987,5967,299.59842,286.43277,False
330,47.83478,-102.678185,987,5967,299.59842,286.43277,False
331,47.83478,-102.678185,987,5967,299.59842,286.43277,False
332,47.83478,-102.678185,987,5967,299.59842,286.43277,False
333,47.960827,-103.06825,988,5905,292.66785,285.20853,False
334,47.960827,-103.06825,988,5905,292.66785,285.20853,False
335,47.960827,-103.06825,988,5905,292.66785,285.20853,False
336,47.960827,-103.06825,988,5905,292.66785,285.20853,False
337,47.960827,-103.06825,988,5905,292.66785,285.20853,False
338,47.837254,-102.680954,996,5967,295.32074,286.45453,False
339,47.837254,-102.680954,996,5967,295.32074,286.45453,False
340,47.837254,-102.680954,996,5967,295.32074,286.45453,False
341,47.837254,-102.680954,996,5967,295.32074,286.45453,False
342,47.837254,-102.680954,996,5967,295.32074,286.45453,False
343,51.059544,-115.16528,1004,3851,299.29877,286.30396,False
344,51.059544,-115.16528,1004,3851,299.29877,286.30396,False
345,51.059544,-115.16528,1004,3851,299.29877,286.30396,False
346,51.059544,-115.16528,1004,3851,299.29877,286.30396,False
347,51.059544,-115.16528,1004,3851,299.29877,286.30396,False
348,47.930546,-103.446915,1036,5859,296.71454,284.54858,False
349,47.930546,-103.446915,1036,5859,296.71454,284.54858,False
350,47.930546,-103.446915,1036,5859,296.71454,284.54858,False
351,47.930546,-103.446915,1036,5859,296.71454,284.54858,False
352,47.930546,-103.446915,1036,5859,296.71454,284.54858,False
353,47.92861,-103.44098,1036,5860,295.16995,285.28207,False
354,47.92861,-103.44098,1036,5860,295.16995,285.28207,False
355,47.92861,-103.44098,1036,5860,295.16995,285.28207,False
356,47.92861,-103.44098,1036,5860,295.16995,285.28207,False
357,47.92861,-103.44098,1036,5860,295.16995,285.28207,False
358,47.753418,-102.90908,1036,5947,293.42117,285.03726,False
359,47.753418,-102.90908,1036,5947,293.42117,285.03726,False
360,47.753418,-102.90908,1036,5947,293.42117,285.03726,False
361,47.753418,-102.90908,1036,5947,293.42117,285.03726,False
362,47.753418,-102.90908,1036,5947,293.42117,285.03726,False
363,48.014343,-103.87343,1047,5791,292.83237,284.1422,False
364,48.014343,-103.87343,1047,5791,292.83237,284.1422,False
365,48.014343,-103.87343,1047,5791,292.83237,284.1422,False
366,48.014343,-103.87343,1047,5791,292.83237,284.1422,False
367,48.014343,-103.87343,1047,5791,292.83237,284.1422,False
368,48.012505,-103.86775,1047,5792,297.7852,284.7863,False
369,48.012505,-103.86775,1047,5792,297.7852,284.7863,False
370,48.012505,-103.86775,1047,5792,297.7852,284.7863,False
371,48.012505,-103.86775,1047,5792,297.7852,284.7863,False
372,48.012505,-103.86775,1047,5792,297.7852,284.7863,False
373,47.55573,-102.52467,1049,6013,292.00864,286.32397,False
374,47.55573,-102.52467,1049,6013,292.00864,286.32397,False
375,47.55151,-102.527794,1050,6013,292.1553,286.32547,False
